                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5962,                 23.299,                 1.8805,                0.00807,                0.39321,                0.03085,                0.02423,                 1.9246,                 10.033,                 1.6795,             7.5623e-05,             7.5623e-05,             7.5623e-05
                      2,                 2.2784,                 11.794,                 1.6976,                0.63862,                0.14787,                0.14486,                0.11333,                 1.7172,                 5.6883,                 1.6649,             0.00015299,             0.00015299,             0.00015299
                      3,                 2.0431,                 8.4964,                 1.7126,                0.44901,                0.32869,                0.21849,                0.17028,                 1.7158,                 3.9095,                 1.6774,             0.00023004,             0.00023004,             0.00023004
                      4,                 2.2847,                 6.8403,                 1.7427,                0.57011,                0.28909,                0.27299,                0.21488,                 1.6776,                 3.4656,                 1.6716,             0.00023162,             0.00023162,             0.00023162
                      5,                 2.0667,                  5.318,                 1.7258,                0.44164,                0.35445,                0.31362,                0.24124,                 1.6617,                 3.3709,                 1.6734,             0.00023115,             0.00023115,             0.00023115
                      6,                 2.0735,                 4.7817,                  1.719,                0.49421,                0.33592,                0.34959,                0.28062,                 1.6941,                  2.978,                 1.6809,             0.00023069,             0.00023069,             0.00023069
                      7,                 1.9746,                 4.1598,                 1.7075,                0.63744,                0.39168,                 0.4029,                0.32012,                   1.59,                 3.0924,                 1.6733,             0.00023023,             0.00023023,             0.00023023
                      8,                 1.9274,                 3.8677,                 1.7055,                0.67581,                 0.3839,                0.47322,                 0.3886,                 1.5024,                 2.5924,                 1.6529,             0.00022977,             0.00022977,             0.00022977
                      9,                 1.8858,                  3.505,                 1.7289,                 0.6496,                0.39919,                 0.4514,                0.36322,                 1.5641,                 2.7646,                 1.6739,             0.00022931,             0.00022931,             0.00022931
                     10,                  1.852,                 3.2965,                 1.6801,                0.53491,                0.40354,                0.47122,                0.38365,                 1.5201,                 2.6736,                  1.665,             0.00022885,             0.00022885,             0.00022885
                     11,                 1.8245,                 3.1954,                 1.7085,                0.71925,                0.42527,                0.53466,                0.43468,                 1.5179,                 2.7029,                 1.6675,             0.00022839,             0.00022839,             0.00022839
                     12,                 1.7878,                 2.8843,                  1.682,                0.76617,                0.42641,                0.56595,                0.45938,                 1.5509,                 2.3957,                 1.6767,             0.00022793,             0.00022793,             0.00022793
                     13,                 1.7624,                 2.8508,                 1.7013,                 0.5896,                0.53925,                0.55724,                0.45917,                  1.548,                 2.3263,                 1.6554,             0.00022746,             0.00022746,             0.00022746
                     14,                 1.8687,                 2.7664,                 1.6874,                0.80484,                0.47962,                 0.5859,                0.49047,                 1.4442,                 2.2541,                  1.651,               0.000227,               0.000227,               0.000227
                     15,                 1.7789,                 2.6438,                 1.6952,                0.69592,                0.45824,                0.53249,                0.43661,                 1.4817,                 2.3231,                 1.6558,             0.00022654,             0.00022654,             0.00022654
                     16,                  1.782,                 2.4389,                 1.6913,                0.62939,                 0.5447,                0.58944,                0.48306,                 1.4792,                 2.0968,                  1.643,             0.00022608,             0.00022608,             0.00022608
                     17,                 1.6969,                 2.3238,                 1.6893,                0.58563,                0.62013,                0.60082,                0.50101,                 1.4526,                 2.2349,                 1.6391,             0.00022562,             0.00022562,             0.00022562
                     18,                 1.7506,                 2.2906,                 1.6972,                0.57664,                0.65023,                0.63216,                0.52827,                 1.4721,                 2.2033,                 1.6533,             0.00022516,             0.00022516,             0.00022516
                     19,                 1.7413,                 2.1729,                 1.6855,                0.63871,                0.59336,                0.66195,                0.55683,                 1.4231,                 2.1057,                 1.6598,              0.0002247,              0.0002247,              0.0002247
                     20,                 1.7163,                 2.1006,                 1.6569,                0.75535,                0.58198,                0.64099,                 0.5314,                 1.5005,                 1.8155,                 1.6621,             0.00022423,             0.00022423,             0.00022423
                     21,                 1.7535,                 2.1526,                 1.6817,                0.68473,                0.61981,                0.68912,                0.58289,                 1.4374,                 2.0907,                 1.6455,             0.00022377,             0.00022377,             0.00022377
                     22,                 1.6868,                 2.0225,                 1.6859,                0.66037,                0.68644,                0.69862,                0.59174,                 1.4111,                 1.9881,                   1.64,             0.00022331,             0.00022331,             0.00022331
