                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7618,                 18.656,                 1.9072,                      0,                      0,                      0,                      0,                 2.0755,                 10.062,                 1.7072,             7.5623e-05,             7.5623e-05,             7.5623e-05
                      2,                 2.7814,                  16.81,                 1.7674,                0.00534,                0.02742,                0.00498,                0.00376,                 2.1231,                 9.4733,                 1.6578,             0.00015299,             0.00015299,             0.00015299
                      3,                 2.5758,                 15.743,                 1.7716,                0.02521,                0.18842,                0.05171,                0.04138,                 2.1354,                 8.0183,                 1.6792,             0.00023004,             0.00023004,             0.00023004
                      4,                 2.6592,                 15.394,                 1.7925,                0.01643,                0.48328,                0.09267,                0.07084,                 2.0645,                 6.3089,                 1.6868,             0.00023162,             0.00023162,             0.00023162
                      5,                 2.5311,                 13.701,                 1.7735,                0.61631,                0.10839,                0.11888,                0.08913,                 2.0018,                 5.4605,                 1.6857,             0.00023115,             0.00023115,             0.00023115
                      6,                 2.5314,                 12.963,                 1.7643,                0.69728,                0.11839,                0.13929,                0.10888,                 1.9506,                 4.7649,                 1.6931,             0.00023069,             0.00023069,             0.00023069
                      7,                 2.4428,                 12.379,                 1.7546,                0.59338,                0.16377,                0.16377,                0.12137,                 1.9918,                 4.6471,                 1.6966,             0.00023023,             0.00023023,             0.00023023
                      8,                 2.3514,                 11.921,                 1.7454,                0.71158,                0.11121,                0.15729,                0.12097,                 1.8997,                 4.4009,                 1.6817,             0.00022977,             0.00022977,             0.00022977
                      9,                 2.3503,                 11.459,                 1.7846,                0.32101,                0.24023,                0.20182,                0.15502,                 1.9156,                 4.2403,                 1.6925,             0.00022931,             0.00022931,             0.00022931
                     10,                  2.294,                 11.117,                 1.7212,                0.34985,                0.20055,                0.20351,                0.16066,                 1.8094,                 4.0165,                  1.669,             0.00022885,             0.00022885,             0.00022885
