                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7849,                 43.998,                  1.952,                 0.0054,                0.12467,                0.00474,                0.00314,                 1.9507,                 26.109,                 1.7179,             7.5623e-05,             7.5623e-05,             7.5623e-05
                      2,                 2.4556,                 17.837,                 1.7498,                0.21447,                0.06115,                0.03422,                0.02596,                  1.921,                 15.364,                 1.7144,             0.00015299,             0.00015299,             0.00015299
                      3,                 2.1393,                 11.775,                 1.7315,                0.64295,                0.17353,                0.13994,                0.11041,                 1.8618,                 6.3987,                 1.7073,             0.00023004,             0.00023004,             0.00023004
                      4,                 2.2594,                 8.8968,                 1.7586,                0.42944,                0.20921,                0.17717,                0.13488,                 1.9112,                 4.5052,                 1.7131,             0.00023162,             0.00023162,             0.00023162
                      5,                 2.1869,                 6.8238,                 1.7587,                0.45852,                0.26988,                0.27906,                0.20646,                 1.9301,                 3.9448,                 1.7158,             0.00023115,             0.00023115,             0.00023115
                      6,                 2.1463,                 5.9203,                 1.7523,                0.39766,                0.35239,                0.30752,                 0.2428,                 1.6979,                 3.3443,                  1.682,             0.00023069,             0.00023069,             0.00023069
                      7,                 2.0539,                 4.9977,                 1.7343,                0.42731,                0.34078,                0.34894,                0.27787,                 1.6995,                 3.1403,                 1.6907,             0.00023023,             0.00023023,             0.00023023
                      8,                 1.9978,                 4.6003,                 1.7134,                0.47684,                0.39155,                0.35426,                0.28417,                 1.5879,                 2.8159,                 1.6613,             0.00022977,             0.00022977,             0.00022977
                      9,                 1.9762,                  4.217,                 1.7451,                0.67024,                0.34673,                0.39208,                0.32106,                 1.5401,                  2.715,                 1.6511,             0.00022931,             0.00022931,             0.00022931
                     10,                 1.9582,                 3.9041,                 1.6966,                0.48855,                 0.4028,                0.39394,                 0.3268,                 1.4656,                 2.9369,                  1.646,             0.00022885,             0.00022885,             0.00022885
                     11,                  1.844,                 3.5724,                 1.7128,                0.69826,                0.39498,                0.46054,                0.37778,                 1.4618,                 2.7313,                 1.6482,             0.00022839,             0.00022839,             0.00022839
                     12,                   1.87,                 3.2265,                 1.6901,                0.58133,                 0.4292,                0.45183,                0.37027,                 1.5095,                  2.491,                 1.6486,             0.00022793,             0.00022793,             0.00022793
                     13,                 1.7659,                 3.0651,                   1.71,                0.48962,                0.43917,                0.43469,                0.36268,                 1.4665,                 2.8032,                 1.6446,             0.00022746,             0.00022746,             0.00022746
                     14,                 1.8972,                 3.2553,                 1.6882,                0.76695,                0.35271,                0.45785,                0.37937,                 1.4597,                 2.4139,                 1.6327,               0.000227,               0.000227,               0.000227
                     15,                  1.827,                 2.9868,                 1.6999,                0.45335,                0.54833,                0.56431,                0.45331,                 1.5312,                 2.6039,                 1.6537,             0.00022654,             0.00022654,             0.00022654
                     16,                 1.8108,                 2.8204,                 1.7056,                0.49728,                0.62236,                0.57869,                0.48393,                 1.4568,                 2.2992,                 1.6457,             0.00022608,             0.00022608,             0.00022608
                     17,                 1.7534,                 2.6888,                 1.6935,                0.51255,                0.60224,                 0.5753,                0.47836,                 1.4208,                  2.397,                 1.6347,             0.00022562,             0.00022562,             0.00022562
                     18,                 1.8031,                  2.547,                  1.701,                0.60026,                0.56941,                 0.5667,                0.47899,                 1.4133,                 2.4884,                 1.6406,             0.00022516,             0.00022516,             0.00022516
                     19,                 1.7691,                  2.439,                  1.691,                0.53137,                0.59695,                0.56792,                0.47091,                 1.4225,                 2.4551,                 1.6429,              0.0002247,              0.0002247,              0.0002247
                     20,                 1.8117,                 2.4066,                 1.6763,                0.52812,                0.60164,                0.61068,                0.51391,                 1.4656,                 2.0822,                 1.6411,             0.00022423,             0.00022423,             0.00022423
                     21,                 1.8054,                 2.3642,                 1.6901,                0.44398,                0.71549,                0.60007,                0.49982,                 1.4539,                 2.0989,                 1.6375,             0.00022377,             0.00022377,             0.00022377
                     22,                 1.7075,                 2.2574,                 1.6901,                0.56088,                0.60764,                0.63679,                0.54882,                 1.2893,                 2.1095,                 1.6222,             0.00022331,             0.00022331,             0.00022331
                     23,                 1.7476,                 2.2541,                 1.6776,                0.60954,                0.55919,                0.65398,                0.55175,                 1.3525,                 2.0158,                  1.639,             0.00022285,             0.00022285,             0.00022285
                     24,                 1.6983,                  2.111,                 1.6658,                0.57296,                0.71766,                0.69063,                0.57614,                 1.4686,                  2.083,                 1.6317,             0.00022239,             0.00022239,             0.00022239
                     25,                 1.7732,                 2.1627,                 1.6773,                 0.5754,                0.61873,                0.61969,                0.52341,                 1.4633,                 2.0758,                 1.6373,             0.00022193,             0.00022193,             0.00022193
                     26,                 1.7702,                 2.0749,                 1.6617,                0.58947,                 0.5639,                0.61127,                0.51654,                 1.3989,                 2.5283,                  1.624,             0.00022147,             0.00022147,             0.00022147
                     27,                 1.6313,                 1.9475,                 1.6535,                 0.6171,                 0.6991,                0.67756,                0.56945,                 1.4031,                 1.8689,                 1.6272,             0.00022101,             0.00022101,             0.00022101
                     28,                 1.6937,                 1.8059,                 1.6776,                 0.4753,                0.64715,                0.64385,                0.55045,                  1.337,                 2.0451,                 1.6259,             0.00022054,             0.00022054,             0.00022054
                     29,                 1.6137,                 1.7305,                 1.6752,                0.51159,                0.70331,                0.62523,                0.52224,                 1.4212,                 1.9882,                 1.6424,             0.00022008,             0.00022008,             0.00022008
                     30,                 1.6526,                 1.7751,                 1.6624,                0.50367,                0.66199,                0.63804,                0.54642,                 1.3293,                 2.3093,                 1.6334,             0.00021962,             0.00021962,             0.00021962
                     31,                 1.6032,                 1.7368,                 1.6597,                0.63967,                0.61405,                0.60426,                0.51521,                 1.3916,                 2.1346,                 1.6329,             0.00021916,             0.00021916,             0.00021916
                     32,                 1.6474,                  1.665,                  1.671,                0.54551,                0.61636,                0.67512,                0.57784,                 1.3613,                 2.0098,                 1.6232,              0.0002187,              0.0002187,              0.0002187
